Title,Writer,Genre,View Count,Rating,Episode Count,Comment Count,Story,Hashtags,Age Rating
손톱,"이남강,김기백",드라마,341.3만,9.9,전체55,"전체 3,653","전래동화 중에 그런 이야기가 있다.
아무데나 버린 손톱을 먹은 들쥐가 손톱주인과 똑같은
모습으로 나타난다는 이야기...

""7년 전 흔적도 없이 실종됐던 딸이 돌아왔다.""","#미스터리, #호러, #현대물, #오컬트, #영혼체인지/빙의, #귀신, #가족, #무서운, #스릴 넘치는",15세이용가
램프의 아미나,"heeya,천의얼",로판,308.6만,10.0,전체146,"전체 4,294","마법사의 도시 파즈가 쿠테타로 인해 멸망하는 날,
시간을 되돌리려고 하다가 램프에 갇혀버린 최후의 마법사 아미나.
그렇게 300여년이 흘러 파즈 군사령관 자카르에 의해 깨어난다.

소원을 다 들어주면 램프로 돌아가야만 하는 그녀와 소원을 
포기하고 함께 하고자 하는 자카르. 
하지만 그들을 둘러싼 암투와 위협은 끊이지 않는데... 

요정과 인간 사이 정체성을 사이에 둔 아미나의  성장 이야기가 
지금 시작된다!","#로맨스판타지, #성장물, #인외존재, #초월적존재, #다정남, #순정남, #왕족/귀족, #대형견남, #동정남, #능력녀",전체이용가
더 로스트,"만의공작소,겨울고구마",액션,61.1만,9.7,전체60,전체 319,"영생(永生), 물에 비친 달과 같은 이야기. 그러나 모든 인간이 늘 탐하는 욕망의 단어.
그리고 세상엔 전승(傳承)이라는 능력으로 사람의 육체를 빼았으며 영생의 삶을 이어가는 이들이 있으니,
그들은 스스로를 전승자라 부른다.

어느날,
번화가의 칵테일바에서 웨이터로 일하는 <박현우>는 데이트 강간 약물을 먹고 겁탈 당할 뻔 한 대학동창 <김민희>를 구한다.
그리고 집에 돌아가던 <김민희>에게 우산을 가져다 주러 따라가던 중 전승자들간의 싸움에 휘말리게 된다.

전승의 능력과 영생의 길 그리고 자신이 짝사랑 하던 <김민희>가 전승자라는 것을 알게 된 <박현우>는
<김민희>에게 납치되어 그녀의 집에 머물게 되고, <김민희>와 함께 지내는 시간이 길어질수록 점점 더 그녀와 사랑에 빠진다.

그러던 중, 전승자들 사이에서도 먹이사슬 최상위에 있는 로스트(LOST-Lord of Space & Time)가 각성한다.
평화롭던 세상은 전승자들간의 전쟁으로 점점 지옥으로 변해가고, <김민희>의 위치가 각성한 로스트에게 노출 되며
<김민희>는 사상 최악의 위협에 놓이게 된다.

영생의 유혹에 빠져 본능만을 따르는 인간은 더 이상 사람이 아니라고 굳게 믿는 <박현우>,
하지만 사랑하는 여자를 위해 영생의 길에 뛰어들어 로스트 사냥을 시작하게 되는데..","#퓨전, #초능력, #형사",15세이용가
황비님의 비밀수업,"한세람,톰",로판,812만,9.9,전체100,"전체 8,318","대학생 '이 사나'는 아르바이트를 마치고 집으로 가던 중 의문의 목소리를 듣고 의식을 잃는다.
이후 사나는 같은 이름의 '이사나 카스티아'의 몸에 빙의. 중세풍 이세계 감옥의 사형수로 깨어난다.
 
1시간 안에 탈출하지 못하면 마녀로 화형 당할 처지.
우여곡절 끝에 간수를 제압하고 높은 감옥 창문에서 뛰어 그대로 '황태자 루드비히'의 얼굴을 밟고 마는데..
 
'이 마녀를 황궁으로 데려가겠다.'
'난 마녀가 아니야!' 
하지만 사나가 위험할 때마다 펼쳐지는 우연 같은 마법들!
 
즉위 한 루드비히는 사나에게 힘을 빌려달라며 자신의 황비가 될 것을 제안한다.
 
황비가 되어 손쉽게 귀족세력을 물리치는 사나.
그러나 그들 사이로 본래 사나의 몸을 한 진짜 '이 사나'가 나타나고,
뒤바뀐 몸, 권력, 사랑을 건 두 여자의 태풍 같은 싸움이 시작된다.",해시태그 없음,15세이용가
꽃같은 인생,김인정,로맨스,246.5만,9.7,전체69,"전체 2,826","끊임없이 연애하는 드라마 퀸 '여주'
연애에도 이성적인 리얼리스트 '미소'
하나의 사랑을 지키려는 4년 차 커플 '호연,
완벽한 한 사람을 기다리는 23년 차 솔로 '선'

절친한 친구 사이인 넷은 졸업을 앞둔 대학 4학년.
새 학기 시작과 함께 네 친구들 앞에 복학생 진호 선배가 나타난다.
군대에 간 남자친구를 기다리는 여주는 선배만 보면 자꾸 마음이 흔들리는데…

개성 강한 네 명의 친구들이 펼쳐내는
울고 웃고 사랑하는 캠퍼스 라이프.

당신의 연애는 어떤 모습인가요?
당신에게 연애는 무엇인가요?","#캠퍼스물, #엉뚱발랄녀, #순정녀, #오래된연인, #로맨틱코미디",전체이용가
숨겨진 세계,MISHA,로판,589.1만,9.9,전체105,"전체 6,949","내가 알고 있던 나에 대한 모든 것이 진실이 아니라면?!

대학생 권미르에게는 아무에게도 말하지 못하는 비밀이 있다.
바로 알수없는 꿈을 꾸면 머리가 길게 자라나는 것.

남들과는 다르다는 비밀을 애써 부정한 채, 하루하루를 살아가던 미르는 
어쩌다 윤지한의 결계(結界) 들어가고, 숨겨졌던 진짜 세계와 마주하게 된다.

 ""운명이라고?! 그깟 운명 내가 얼마든지 바꿔주지!""",해시태그 없음,전체이용가
아싸가 알아버렸다,곰브,드라마,184.1만,9.6,전체82,"전체 2,096","음침한 성격에 학교를 싫어하며 어떠한 사정으로 알바만 하는 아싸 '박두봉' 
그런 두봉과는 반대로 성적 우수, 품행 단정에 친화력 높은 성격으로
반에서 가장 신뢰받는 인싸 의문의 전학생 '한윤정'
아싸와 인싸, 물과 기름처럼 극과 극으로 다른 둘의 좌충우돌 학교생활기!","#학원물, #성장물, #친구",전체이용가
프리실라의 결혼 의뢰,"메로나,임서림",로판,"1,854.3만",10.0,전체130,전체 1.4만,"프리실라 모티아는 용병단에서 마법사로 일하고 있지만, 
한때 영지를 가진 백작가의 외동딸이었다.
아버지가 돌아가시고, 
계모가 사치품으로 재산을 모두 탕진해 10살 연상의 이혼남에게 팔아먹기 전까진…….
 
용병일을 하다 닥친 사고로
프리실라는 죽기 직전 ‘드래곤 하트’를 손에 넣는다.
잃어버린 15년을 되찾을 기회!
그녀는 큰 모험을 시도하기로 결심한다.
 
“돌아왔구나!”
 
하지만, 돌아온 프리실라를 기다리고 있는 건 엄청난 빚과 
그녀와의 결혼으로 영지와 작위를 빼앗을 궁리를 하는 이혼남.
 
프리실라는 복수를 위해
전장의 검은 사신 키안 루스틴을 찾아간다.
 
“당신에게 의뢰를 하고 싶어요.”
“무슨 의뢰죠? 암살의뢰인가요?”
 
“키안 루스틴! 제 남편이 되어주세요.”
 
과연, 프리실라는 의뢰를 허락받고 영지도 사랑도 쟁취할 수 있을까?
 
*****************************************************
임서림 작가님의 <프리실라의 결혼의뢰> 웹툰화!
프리실라의 복수과 심장 쫄깃한 로맨스를 기대해주세요!
*****************************************************",해시태그 없음,전체이용가
크리스마스의 남자,"마릴린,정경윤",로맨스,657.1만,9.8,전체89,"전체 6,899","완전무결한 최고의 비서 이지영!
그녀의 소박한 크리스마스 소원은 이루어질까?!

대한 식품의 까다롭기로 소문난 김만복 전무를 무려 5년이나 보필한 유능한 비서 이지영. 이렇게 겉모습은 완전무결 도도하지만 그런 지영에게도 소박한 소원이 하나 있는데, 그것은 바로 자신의 생일이기도한 크리스마스에 짝사랑하는 윤승주 상무님과의 커피 한잔! 그러던 어느 날, 모시던 전무님이 지병으로 은퇴하게 되고 드디어 윤승주 상무를 모시게 되는데…!",해시태그 없음,15세이용가
하늘이 내린 연애,이선희,로맨스,503.1만,9.9,전체60,"전체 2,961","하늘이시여~
제발 평범한 연애를 할 수 있도록 이 저주를 풀어주세요~!!

무려 다섯 번 연속―!! 
저주에라도 걸린 것처럼 ‘똥차’들만 만나는 연애를 해온 서아진!

오늘도 아진의 남친은 바람을 피우다 딱 걸렸고! 그 남친이 직장 상사의 조카였던 탓에 일하던 메이크업 숍에서도 잘린 아진은 언니네 집에 얹혀살게 된다.

자취방을 빼고 언니네 집으로 이사하던 날, 친구와 홧술을 잔뜩 마신 아진은 실수로 1704호의 언니네 집 대신 아랫집 1604호로 들어가버리고… 
그 집에는 대세 연예인 남유준이 살고 있는데…!!

어?! 그런데 이 남자…
아진을 알고 있다…?!

그저 평범한 연애만을 바랬던 아진.
이번에는 과연 진정한 사랑을 찾을 수 있을까?!


하늘이 내린 연애 ⓒ 이선희 / 학산문화사
[매월 6, 16, 26일 업데이트]",해시태그 없음,전체이용가
