Title,Writer,Genre,View Count,Rating,Episode Count,Comment Count,Story,Hashtags,Age Rating
하승남 강호출도 컬렉션,하승남,무협,15.7만,9.8,전체186,전체 20,"<하승남 강호출도 컬렉션> 작품구성

1. 쩐투 [개정판]
2. 십검풍 [개정판]
3. 신검혈도 [개정판]",해시태그 없음,15세이용가
네가 죽은 세계의 나,JA,드라마,135.9만,10.0,전체57,"전체 1,131","불행한 사건을 겪은 뒤,
우연히 과거로 돌아가는 주문을 발견한 해원.
 
해원은 주문을 통해 그날의 사건을 막고 
과거를 바꾸는 데 성공한다.
 
그러나,
그 일의 대가는 끔찍한 형태로 되돌아온다.
 
해원은 사건에 숨겨져 있던 놀라운 진실과 마주하게 되고,
시간을 되돌리는 것의 진짜 의미가 무엇인지를 깨닫게 되는데…
 
시간을 거슬러 과거를 바꾼 후 
일어나는 이야기에 초점을 맞춘 
색다른 타임 슬립 스릴러","#스릴러, #회귀/타임슬립, #서바이벌, #가족, #학생, #스릴 넘치는",15세이용가
사람이라호,임희,로맨스,34.3만,9.9,전체54,전체 323,"백 년 전 도화원이 기억의 시작이었던 도원은
신선 월덕에 의해 지상으로 내려가
사건을 수습하라는 책무를 떠안게 되고,
속세에 내려온 첫날 감정을 볼 수 있는
신묘한 힘을 가진 젊은 술사 한결을 만나게 된다.

마치 운명처럼 물리적으로 서로에게 묶이게 된 도원결이.
열두 걸음 이상 떨어질 수 없게 되자 동거를 시작한다.

지상에 퍼진 복숭아씨가 만들어낸 사건들을 해결하기 위해
고군분투하는 도원과 결이.

우연이 겹치면 필연.
이제야 비로써 멈춰 있던 그들의 시간이
다시금 흐르기 시작한다.","#동양풍, #동거물, #성장물, #운명, #츤데레남, #다정남, #외유내강, #직진녀, #계약관계, #기억상실, #로맨틱코미디",전체이용가
난편하다,지가,드라마,17.2만,9.6,전체42,전체 352,"예민하고 삶에 이물감을 잘 느끼는 서하.
세상을 마냥 즐겁게만 지낼 수 없다.

그래서 일상의 크고 작은 문제들과 직면하면서
상처도 많이 받고 스스로에 대한 문제도 인지하며,
사람은 완벽할 수 없다는 전제하에
조금 더 나은 사람이 되고자 노력한다.

출근길도 여느 때와 같이
서하를 지치게 하는 요소들은 너무나도 많다.
일상도 회사도 조금씩 힘에 부친다.

그리고 늦은 새벽, 친구 혜지의 
오랜 연애의 이별 소식에 급히 혜지 집을 찾는다.
그리고 돌아오는 길, 두고 간 핸드폰에 
늦은 시간 연락이 끊긴 것에 화가 난 
남자친구 영훈과 다툼이 생기는데...

예민한 윤서하, 소심한 안혜지, 쿨한 주은아.

조금 덜 불편하고 덜 피로하게,
즐거울 수 있게 나름의 방법을 찾고
그것들로 애쓰는 그들의 이야기.",해시태그 없음,전체이용가
오적도,조원표,드라마,51.1만,9.3,전체66,전체 664,"한국대학교 해양학과 학생들은
학교 행사를 위해 '오적도'로 향한다.

하지만, '오적도'의 바다는 이미 썩을 대로 썩어
죽은 물고기가 해변을 가득 덮고,
마을 사람들은 이상한 피부병이 온몸에 가득하다. 

이미 배는 떠났고 2박 3일을 '오적도' 머물러야 하는 학생들.
꺼림칙하지만 학교 행사를 즐기려 한다.

그리고 그날 밤, 무언가에 감염된 학생 한 명의 입에서
거대한 촉수가 나오고 학생들을 공격하기 시작한다.
살기 위해 바다로 도망치는 학생들.

그리고 그곳에는 섬 밖으로 아무도 나가지 못하게 하는
정체불명의 괴물이 기다리고 있다.

결국, 살아남은 학생들과 섬마을 사람들, 군인들은
힘을 합쳐 괴물을 피해 섬을 탈출할 계획을 세운다.
하지만, 시간이 지날수록 살아남은 섬마을 사람들이 숨기고 있던
섬마을의 정체가 밝혀지게 되는데...","#스릴러, #서바이벌, #초월적존재, #친구, #가족, #학생, #무서운",15세이용가
닿을랑말랑,"김담비,딩동",로맨스,92.9만,9.8,전체50,전체 829,"타인의 손을 잡으면 그 사람의 미래를 볼 수 있는 지우. 

우연히 같은 반 해성의 손을 잡았는데, 처음으로 내 미래가 보였다?! 

하필 대학 미술 실기 대회를 앞두고 있던 지우는 자꾸 해성의 손을 잡으려고 하고, 해성은 결벽증이라도 있는 것마냥 절대 손을 잡혀 주지 않는다. 손에 무슨 트라우마라도 있는거야?! 

능력 때문에 오히려 누군가를 좋아하는 게 무서워졌지만, 미래를 바꾸기 위해 달려드는 지우와, 부상 때문에 아이스하키를 그만뒀지만, 여전히 그 시절이 그리워 좋아하는 일을 향해 질주하려는 해성. 

미래를 보는 소녀와 과거에 사는 소년은 서로를 통해 현재를 마주한다. 

미래를 바꾸기 위해 고군분투하는 청춘 로맨틱 코미디","#현대로맨스, #성장물, #첫사랑, #엉뚱발랄녀, #무심남, #친구>연인",전체이용가
SSS급 그림쟁이 소환사,"용용이,CREAM호빵",판타지,60.5만,7.9,전체35,전체 799,"어느 날 갑작스럽게 발생한 지진으로 이세계로 떨어진 “신진호” 와 회사 동료들…
알고 보니 이세계는 친형이 그린 웹툰과 모든 내용이 똑같은 세계였다.
 
오랜 무명작가로 잇단 차기작 실패로 좌절하고 자신의 작품을 비관하며 어디론가 사라져버린 형…
형의 웹툰 속 세계관과 스토리를 잘 알고 있는 진호만이 이세계를 제대로 공략할 수 있다.

이에 진호는 회사 동료들과 함께 이세계를 탈출하여 원래 세계로 돌아가는 것과 사라진 형의 행방
이 두 마리 토끼를 한꺼번에 해결하고자 여행을 떠난다.","#차원이동, #귀환, #생존, #이능력",전체이용가
고진감래,핑푸,BL,24.2만,9.8,전체43,전체 308,"말 못할 사연으로 사당패에 몸을 담게 된 고진은 우연히 들른 마을에서 신비한 도사 감래와 마주치게 된다.
그리고 때맞춰 벌어지는 마을의 이상한 사건들...
엮이면 엮일 수록, 고진은 그에게 미묘한 감정에 휩싸인다.
레진코믹스 대표 동양 판타지",해시태그 없음,15세이용가
피셔맨,NEMO,액션,43.2만,9.4,전체74,전체 552,"피셔맨이 되어 인류를 구하고자 하는 소년 이리의 이야기!
 
지상을 탐한 고래로 인해 폐허가 되어버린 대륙 '판타지아'.
그리고 고래에게 무너져, 멸종 직전에 놓인 인류 앞에 나타난 '피셔맨'!
 
미스테리한 힘을 지닌 그들은 고래에 맞서 인류를 지키고,
피셔맨의 수장 '그리나드'는 인류를 수호한 영웅으로 추앙받는다.
 
여느 평범한 인간들처럼 그리나드를 동경하며 살아가던 소년 '이리'. 
그런 그에게 알 수 없는 힘이 발현되기 시작하고, 
이를 통해 이리는 꿈에 그리던 피셔맨의 일원이 된다. 

하지만 기쁨도 잠시... 
영웅의 꿈에 다가갈수록 이리는 인간과 고래의 전쟁 뒤에 감춰진 
피셔맨의 어두운 진실과 마주하게 되는데...!","#지존, #전쟁, #영웅/신화, #정통, #격투",전체이용가
다빈치치 풋볼,다빈치치,드라마,21.4만,9.9,전체35,전체 446,"[평범한 축구 웹툰은 가라! 가장 코믹하고 창의적인 축구 웹툰!]

축구 역사상 처음으로 겨울에 열리는 2022 카타르 월드컵!

온갖 패러디와 코믹 요소로 무장한 다빈치치 풋볼이 올 겨울 월드컵의 감동을 생생하게 전달합니다.

월드컵 조편성부터 매주 월드컵의 생생한 감동을 전하는 국내 유일 축구 소재 코믹 웹툰",해시태그 없음,전체이용가
